latitude,longitude,postalCode,walkScore,propertyType,style,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage,price
45.2520176,-75.9088753,K2S 1J5,18,Residential,Detached,,3,2,6,2,32.61,42.06,"799,000"
45.329804,-75.449248,K0A 1V0,1,Residential,Detached,1996,4,3,8,2,81.78,41.58,"625,000"
45.3369457,-75.6057892,K1T 3W9,8,Residential,Detached,1958,3,3,6,0,46.94,41.45,"1,439,900"
45.3237405,-75.7399145,K2G 0C6,8,Residential,Detached,,2,1,3,0,45.72,40.84,"529,900"
45.4753021,-76.1152316,K0A 3M0,1,Lots/Acreage,,,,,,,42.35,40.75,"59,900"
45.4466793,-75.6082075,K1J 6L4,35,Lots/Acreage,,,,,,,79.25,39.93,"695,000"
45.3616933,-75.8576948,K2H 8B1,3,Residential,Detached,1989,3,3,4,2,24.99,39.62,"750,000"
45.3163405,-75.6244554,K1T 3V5,1,Residential,Detached,1965,6,2,15,3,90.53,39.62,"878,000"
45.2819797,-75.7012757,K2C 3H1,12,Residential,Detached,1990,6,6,10,5,112.07,39.59,"2,999,999"
45.2737507,-75.9475789,K0A 1L0,19,Commercial,,,,,,,45.77,39.05,"549,900"
45.4920705,-76.0913133,K0A 3M0,1,Residential,Detached,1989,6,5,10,2,154.53,39.01,"575,000"
45.4498727,-75.6730311,K1M 0X2,42,Residential,Detached,,5,4,6,1,31.7,38.85,"2,790,000"
45.3886785,-75.7382369,K1Z 6W6,83,Residential,Apartment,2017,2,2,0,0,35.15,38.33,"3,065"
45.3929129,-75.7525331,K1Z 6W6,83,Residential,Apartment,2017,2,2,0,0,35.15,38.33,"3,000"
45.2395898,-75.6993062,K4M 1E9,8,Residential,Detached,1960,3,2,5,1,22.86,38.1,"699,000"
45.3202545,-75.6916614,K1V 1G9,11,Residential,Detached,1961,4,5,12,6,36.58,38.1,"2,299,000"
45.2828091,-75.4453876,K0A 1V0,1,Residential,Detached,,3,2,20,3,122.22,38.1,"389,900"
45.119024,-75.7217015,K0A 2T0,2,Residential,Detached,2002,3,2,8,2,68.33,37.59,"649,900"
45.3879629,-75.7427064,K1Z 5X4,73,Lots/Acreage,,,,,,,39.62,37.19,"2,400,000"
45.249286,-75.6946754,K4M 1B2,5,Residential,Detached,1972,4,3,6,2,71.03,36.58,"525,000"
45.4499898,-75.6164651,K1J 7M4,28,Residential,Detached,1945,5,4,10,2,51.58,36.57,"1,300,000"
45.427153,-76.0210418,K0A 1T0,,Residential,Detached,1992,4,3,6,2,71.66,36.17,"549,900"
45.5091084,-75.4135996,K4C 1C1,1,Multifamily,,1993,,,14,,81.96,35.67,"995,000"
45.4488137,-75.6091963,K1J 8V5,35,Residential,Detached,1978,5,6,10,4,42.81,34.79,"2,350,000"
45.4513673,-75.6843006,K1M 0G3,15,Residential,Detached,2008,4,4,8,3,35.09,33.54,"4,875,000"
45.4523469,-75.6765407,K1M 0N2,31,Residential,Detached,1953,4,6,4,2,55.78,33.53,"4,398,000"
45.1282586,-75.7090878,K0A 2Y0,28,Residential,Detached,1987,3,3,6,2,70.1,33.53,"574,900"
45.184513,-75.6284182,K4M 1B4,1,Residential,Detached,,3,1,6,0,66.35,32.92,"399,900"
45.1909846,-75.8319084,K0A 2Z0,21,Residential,Detached,1966,2,2,6,1,37.8,32.61,"399,900"
45.2292584,-75.6886482,K4M 1G7,33,Residential,Detached,,3,3,6,2,44.2,31.97,"699,900"
45.4218236,-75.4687978,K4B 1H9,1,Residential,Detached,1994,6,4,8,0,89.28,31.66,"710,000"
45.4477988,-75.6109467,K1J 6M3,34,Residential,Detached,1986,6,5,12,2,71.47,31.44,"1,499,900"
45.3734443,-75.7066077,K2C 1P6,38,Residential,Detached,2019,3,3,8,2,57.61,30.97,"1,498,000"
45.452799,-75.6098217,K1J 7G4,14,Residential,Detached,2015,6,5,4,2,116.11,30.8,"1,980,000"
45.2247711,-75.6832499,K4M 1A6,57,Multifamily,,1935,,,10,0,31.71,30.63,"1,200,000"
45.2247711,-75.6832499,K4M 1A6,57,Multifamily,,1935,,,10,0,31.71,30.63,"1,200,000"
45.2894482,-75.7003786,K2C 3H1,11,Lots/Acreage,,,,,,,67.97,30.56,"1,099,000"
45.2428757,-75.5880349,K4P 1G8,1,Residential,Detached,2016,5,4,10,4,69.15,30.52,"1,250,000"
45.3526031,-75.6980692,K1V 7C5,3,Residential,Detached,1960,3,3,6,2,21.34,30.48,"995,000"
45.5153503,-76.1919572,K0A 3M0,1,Lots/Acreage,,,,,,,30.18,30.48,"99,000"
45.3256214,-75.7123456,K2E 6X6,28,Residential,Detached,1960,4,2,6,0,30.48,30.48,"614,900"
45.4530719,-75.6637077,K1L 5B5,25,Residential,Detached,1960,4,3,6,2,30.48,30.48,"1,349,900"
45.3381881,-75.7973486,K2H 7G8,35,Residential,Detached,1965,4,2,4,2,38.1,30.48,"799,900"
45.2725546,-75.6353259,K1X 1E1,1,Residential,Detached,1976,3,2,4,4,42.67,30.48,"499,900"
45.3439286,-75.6393893,K1T 1C3,29,Residential,Detached,1982,5,4,10,3,45.72,30.48,"1,099,000"
45.26044,-75.5514781,K4P 1B2,20,Residential,Detached,1972,3,2,6,3,45.72,30.48,"529,900"
45.2729427,-75.5852759,K4P 1M6,1,Residential,Detached,1971,3,2,6,1,45.72,30.48,"399,000"
45.3778756,-75.4864259,K0A 1K0,1,Residential,Detached,1970,3,2,10,1,45.72,30.48,"489,900"
45.2734945,-75.9469746,K0A 1L0,19,Commercial,,,,,,,45.72,30.48,"699,000"
45.2867861,-75.8410873,K2M 2T1,11,Lots/Acreage,,,,,,,45.72,30.48,"750,000"
45.2869514,-75.8412947,K2M 2T1,11,Lots/Acreage,,,,,,,45.72,30.48,"750,000"
45.3256746,-75.5961793,K1T 3W7,35,Residential,Detached,1975,2,1,10,1,45.9,30.48,"639,000"
45.4286117,-75.5204426,K1C 7G4,1,Residential,Detached,2008,6,4,8,5,47.24,30.48,"1,399,000"
45.4291375,-75.5191386,K1C 7G4,1,Residential,Detached,,3,2,6,0,47.24,30.48,"539,000"
45.4499057,-75.6143454,K1J 6L9,30,Residential,Detached,1953,3,2,6,2,47.85,30.48,"998,000"
45.422809,-75.207207,K0A 2A0,1,Residential,Detached,1977,3,1,4,1,67.71,30.48,"344,900"
45.4944625,-76.1028436,K0A 3M0,1,Residential,Detached,2005,3,3,10,2,68.12,30.48,"699,900"
45.366447,-75.799867,K2B 6P8,33,Residential,Detached,1982,4,4,6,2,21.42,30.18,"1,499,975"
45.3800738,-75.754327,K2A 2J2,75,Residential,Detached,2000,4,4,6,2,34.85,29.91,"1,589,000"
45.350866,-75.6198882,K1T 1H7,31,Residential,Detached,1950,4,4,5,2,30.54,29.72,"699,000"
45.3557438,-75.7996713,K2B 6G1,69,Commercial,,,,,,,58.52,29.26,"1,495,000"
45.4478298,-75.6799527,K1M 0T5,42,Residential,Detached,1929,4,3,4,1,28.38,29.08,"1,489,000"
45.3564412,-75.7059285,K2C 0N2,35,Residential,Detached,,3,2,4,0,19.29,28.78,"599,900"
45.350923,-75.7690738,K2C 2X8,42,Residential,Detached,1959,2,1,3,0,16.93,28.66,"549,900"
45.415334,-75.6964708,K1A 6W9,68,Residential,Detached,1938,5,5,4,2,12.19,28.35,"1,599,900"
45.4500693,-75.6102298,K1J 6L7,30,Residential,Detached,1950,4,3,7,2,121.1,28.22,"1,795,000"
45.2425088,-75.5879514,K4P 0E3,1,Lots/Acreage,,,,,,,68.88,28.08,"310,000"
45.3912742,-75.6560275,K1H 5Z3,18,Multifamily,,1954,,,6,2,32.1,28.01,"1,399,000"
45.3912742,-75.6560275,K1H 5Z3,18,Multifamily,,1954,,,6,2,32.1,28.01,"1,399,000"
45.3899939,-75.6740744,K1H 6K4,60,Residential,Detached,1997,4,2,8,3,24.44,27.9,"1,239,000"
45.3363017,-75.6052923,K1T 3W9,8,Residential,Detached,1958,3,3,6,0,34.44,27.84,"799,900"
45.3717145,-75.7619621,K2A 3C2,64,Residential,Detached,,3,4,7,3,40.23,27.74,"1,049,000"
45.3937615,-75.6951045,K1S 5E1,48,Residential,Detached,1929,5,2,1,0,18.98,27.69,"1,048,000"
45.2504854,-75.5526333,K4P 0G3,1,Lots/Acreage,,,,,,,72.5,27.59,"289,000"
45.4525769,-75.6748153,K1M 0Y5,20,Residential,Detached,2001,7,6,8,2,45.72,27.43,"3,350,000"
45.2673083,-75.9319501,K2S 1B9,65,Multifamily,,,,,8,0,31.46,27.41,"899,000"
45.3433085,-75.6984264,K2E 7A9,9,Residential,Detached,2004,5,5,6,3,38.1,27.06,"1,499,000"
45.2394398,-75.5157002,K0P 2P0,1,Residential,Detached,,3,2,4,1,76.8,26.75,"349,900"
45.2859498,-75.6992707,K2C 3H1,10,Residential,Detached,2017,5,6,15,3,115.98,26.24,"2,489,000"
45.3650094,-75.7592306,K2C 0W8,20,Residential,Detached,1970,4,3,6,2,29.63,25.91,"1,055,000"
45.4502572,-75.6045062,K1J 8L1,32,Residential,Detached,1975,5,5,6,2,30.48,25.91,"849,900"
45.4510829,-75.6826429,K1M 0V6,19,Residential,Detached,1911,6,6,8,2,45.72,25.91,"2,580,000"
45.3717775,-75.708064,K2C 1N3,47,Residential,Detached,1975,5,5,6,2,45.83,25.82,"1,200,000"
45.3425463,-75.6382424,K1T 1C7,27,Residential,Detached,1958,3,3,8,2,31.58,25.61,"699,000"
45.3798741,-75.7455428,K2C 2B8,40,Residential,Detached,1960,4,2,20,0,37.69,25.57,"1,288,000"
45.3542468,-75.7152354,K2E 6S3,23,Residential,Detached,,3,3,8,2,32.46,24.69,"695,000"
45.386317,-75.6518977,K1H 6P2,32,Residential,Detached,1968,6,4,6,2,30.48,24.55,"999,900"
45.4487747,-75.6063518,K1J 6L6,35,Lots/Acreage,,,,,,,85.74,24.48,"886,000"
45.4487747,-75.6063518,K1J 6L6,35,Lots/Acreage,,,,,,,92.2,24.48,"868,000"
45.3857003,-75.6500055,K1H 7B8,32,Residential,Detached,1968,4,4,8,2,30.48,24.38,"1,349,900"
45.3977874,-75.6535321,K1H 5B3,26,Residential,Detached,2008,2,4,8,2,38.1,24.38,"1,750,000"
45.3681748,-75.7626704,K2A 3J4,48,Lots/Acreage,,,,,,,41.28,24.38,"898,000"
45.3681748,-75.7626704,K2A 3J4,48,Lots/Acreage,,,,,,,41.28,24.38,"898,000"
45.3934434,-75.7438507,K1Z 6C2,71,Lots/Acreage,,,,,,,88.09,24.38,"5,295,000"
45.342481,-75.4408392,K4B 1P6,1,Commercial,,1962,,,4,,127.23,24.38,"599,000"
45.3727149,-75.7054828,K2C 0H7,35,Residential,Detached,1987,4,4,4,2,29.14,24.19,"1,350,000"
45.2795955,-75.7706764,K2J 1H2,24,Residential,Detached,1971,4,3,4,2,30.48,24.08,"675,000"
45.3627411,-75.700717,K2C 1P3,49,Lots/Acreage,,,,,,,59.1,23.96,"699,000"
45.2872645,-75.7108548,K2G 6M2,22,Residential,Detached,1999,4,4,6,2,40.81,23.94,"685,000"
45.3945414,-75.6476391,K1H 5P3,26,Lots/Acreage,,,,,,,35.54,23.87,"729,900"
45.3945414,-75.6476391,K1H 5P3,26,Lots/Acreage,,,,,,,35.54,23.87,"729,900"
45.2642181,-75.7142762,K2J 3Z8,13,Residential,Detached,1990,3,3,8,2,48.87,23.61,"989,900"
45.2809748,-75.2609867,K0A 1W0,7,Residential,Detached,2006,5,5,6,2,31.78,23.14,"749,900"
45.2844986,-75.6998077,K2C 3H1,9,Residential,Detached,2010,6,6,8,4,105.08,22.98,"3,750,000"
45.3476168,-75.6336899,K1T 1E3,38,Residential,Detached,1985,4,3,8,2,46.92,22.94,"599,999"
45.3705787,-75.7599238,K2A 1J9,54,Residential,Detached,1964,5,5,4,2,35.26,22.88,"1,549,000"
45.4078048,-75.6856972,K1S 1Y9,83,Residential,Detached,,7,7,7,2,27.43,22.86,"2,350,000"
45.3619375,-75.7277794,K2E 6B1,51,Residential,Detached,1961,3,3,6,1,30.48,22.86,"639,000"
45.3285302,-75.7642857,K2G 1B6,18,Residential,Detached,1960,4,2,6,2,30.48,22.86,"699,000"
45.4496196,-75.6165041,K1J 7M4,28,Lots/Acreage,,,,,,,53.34,22.86,"659,000"
45.4496196,-75.6165041,K1J 7M4,28,Lots/Acreage,,,,,,,53.34,22.86,"659,000"
45.3566758,-75.7024109,K2C 1P5,35,Residential,Detached,1983,5,4,5,1,60.84,22.86,"1,074,900"
45.4492367,-75.6146886,K1J 7J9,33,Residential,Detached,1951,5,3,4,1,60.96,22.86,"799,900"
45.4592467,-75.4948022,K1C 1T1,64,Commercial,,,,,,,60.96,22.86,"1,200,000"
45.4342898,-75.5197354,K1W 1G2,3,Residential,Detached,1974,5,3,8,0,101.13,22.8,"749,900"
45.4490892,-75.6161726,K1J 7M4,34,Lots/Acreage,,,,,,,56.56,22.69,"679,000"
45.4490892,-75.6161726,K1J 7M4,34,Lots/Acreage,,,,,,,56.56,22.69,"679,000"
45.4503313,-75.6644302,K1L 8J6,30,Residential,Detached,1983,4,4,4,2,31.62,22.25,"1,698,000"
45.3478206,-75.6332345,K1T 1E3,38,Lots/Acreage,,,,,,,90.53,22.25,"899,000"
45.37633,-75.6611157,K1V 7T2,79,Residential,Detached,1955,4,3,4,1,32,21.95,"689,900"
45.4581611,-75.4629305,K4A 4C4,23,Residential,Detached,2003,4,4,6,2,32.78,21.7,"599,900"
45.1905519,-75.8270036,K0A 2Z0,2,Residential,Detached,1969,4,2,8,2,64.92,21.64,"424,900"
45.2887413,-75.7006177,K2G 6Y4,10,Residential,Detached,2009,5,6,6,2,52.01,21.4,"1,800,000"
45.359235,-75.7108918,K2E 5A4,33,Residential,Detached,1976,4,3,8,2,30.48,21.35,"939,900"
45.3860564,-75.7542433,K2A 4G2,69,Residential,Detached,1993,3,3,3,1,20.12,21.34,"1,149,900"
45.3013875,-75.9031018,K2L 2N6,43,Residential,Detached,1981,4,3,4,2,27.43,21.34,"775,000"
45.3934261,-75.6441945,K1H 5P4,22,Residential,Detached,1968,4,5,6,2,27.43,21.34,"1,244,900"
45.3381621,-75.775357,K2G 0T9,21,Residential,Detached,1968,4,3,3,1,30.48,21.34,"649,900"
45.3686631,-75.721417,K2E 5Y4,37,Residential,Detached,1950,5,3,4,0,33.53,21.34,"519,900"
45.3968192,-75.652848,K1H 5G7,29,Residential,Detached,1959,4,3,6,2,34.02,21.34,"1,175,000"
45.5028136,-76.084024,K0A 3M0,5,Lots/Acreage,,,,,,,38.1,21.34,"129,900"
45.5088257,-76.1026815,K0A 3M0,5,Lots/Acreage,,,,,,,99.06,21.34,"142,500"
45.3761148,-75.6610836,K1V 7T2,79,Residential,Detached,1972,3,4,7,1,32,21.03,"699,900"
45.4393428,-75.6866457,K1M 1P2,52,Lots/Acreage,,,,,,,35.36,20.73,"1,575,000"
45.4393428,-75.6866457,K1M 1P2,52,Lots/Acreage,,,,,,,35.36,20.73,"1,575,000"
45.3439825,-75.8057352,K2H 7G7,33,Residential,Detached,1962,4,4,6,2,38.69,20.4,"995,000"
45.3706498,-75.8006884,K2B 5Y7,13,Residential,Semi Detached,1967,6,4,3,0,30.18,20.12,"998,000"
45.4061208,-75.7006251,K1R 5T7,78,Lots/Acreage,,,,,,,30.18,20.12,"1,299,000"
45.4061208,-75.7006251,K1R 5T7,78,Lots/Acreage,,,,,,,30.18,20.12,"1,299,000"
45.4745956,-75.522267,K1C 1L5,64,Residential,Detached,1940,4,2,5,0,38.22,20.12,"549,900"
45.4745956,-75.522267,K1C 1L5,64,Residential,Detached,1940,4,2,5,0,38.22,20.12,"549,900"
45.4695543,-76.2145244,K0A 1X0,1,Multifamily,,,,,1,,50.29,20.12,"419,900"
45.4854167,-76.0731056,K0A 3M0,7,Residential,Detached,1985,2,1,3,0,32.24,20.09,"257,500"
45.2551044,-75.9199316,K2S 1P1,34,Residential,Detached,1981,4,4,6,2,32.81,20,"625,000"
45.3440346,-75.8358056,K2H 5P3,8,Residential,Detached,1962,4,2,3,1,30.48,19.81,"699,000"
45.3652681,-75.7156324,K2E 5A9,30,Residential,Detached,1960,4,2,5,0,30.48,19.81,"595,000"
45.2956688,-75.8775234,K2L 1L1,48,Residential,Detached,,4,2,3,1,30.48,19.81,"499,000"
45.3587288,-75.719563,K2E 6N4,16,Residential,Detached,,4,2,2,0,30.48,19.81,"620,000"
45.3381497,-75.7868475,K2H 7P1,33,Residential,Detached,1965,3,2,5,0,33.53,19.81,"599,900"
45.3535348,-75.6923094,K1V 8P3,9,Residential,Detached,1961,4,2,6,1,33.83,19.75,"624,900"
45.4164826,-75.6867659,K2P 1K3,89,Residential,Detached,1920,9,3,5,0,18.29,19.51,"849,900"
45.3690691,-75.7666863,K2A 3P1,73,Residential,Detached,2019,3,5,6,2,19.2,19.51,"1,350,000"
45.3585493,-75.6503553,K1V 7S7,56,Residential,Detached,1968,4,4,3,1,30.48,19.51,"589,000"
45.3510691,-75.8016997,K2B 6H5,79,Residential,Detached,,3,2,3,2,36.36,19.51,"469,900"
45.5169494,-75.4147866,K4C 1C5,5,Residential,Detached,1963,2,2,8,2,47.6,19.51,"499,900"
45.4396398,-75.6548974,K1L 6W5,70,Residential,Detached,1940,5,2,4,0,30.85,19.45,"899,900"
45.3991199,-75.6551593,K1H 2J1,28,Residential,Detached,2006,4,5,6,2,29.7,19.41,"1,099,000"
45.3860634,-75.7466271,K1Z 7H1,65,Residential,Detached,1948,3,1,6,2,29.08,19.37,"1,250,000"
45.3860634,-75.7466271,K1Z 7H1,65,Residential,Detached,1948,3,1,6,2,29.08,19.37,"1,250,000"
45.437259,-75.6097951,K1J 6W7,49,Residential,Detached,2017,4,4,10,2,36.58,19.05,"1,980,000"
45.2520901,-75.7191509,K2J 5N7,6,Residential,Detached,2004,4,5,4,2,35.86,18.92,"949,900"
45.3884137,-75.6448531,K1H 5T8,32,Residential,Detached,1966,4,3,4,1,30.48,18.9,"679,900"
45.3453374,-75.8293898,K2H 5K3,11,Residential,Detached,1964,5,3,3,1,30.48,18.9,"749,900"
45.2635295,-75.8189396,K2R 1C7,1,Residential,Detached,1997,5,4,8,2,85.49,18.77,"1,475,000"
45.4768374,-75.4853429,K4A 1T3,39,Residential,Detached,1984,4,3,5,2,27,18.65,"595,000"
45.3437785,-75.6719865,K1V 9K7,40,Lots/Acreage,,,,,,,33.22,18.54,"349,880"
45.2603282,-75.7229716,K2J 4Y5,8,Residential,Detached,2001,3,2,4,2,37.5,18.53,"779,900"
45.4391182,-75.6093979,K1J 7L6,44,Lots/Acreage,,,,,,,54.86,18.44,"539,000"
45.4391182,-75.6093979,K1J 7L6,44,Lots/Acreage,,,,,,,54.86,18.44,"539,000"
45.332468,-75.7638949,K2G 5P3,24,Lots/Acreage,,,,,,,33.7,18.42,"695,000"
45.4401907,-75.6891759,K1M 1N8,40,Residential,Detached,1875,5,4,4,2,30.18,18.36,"1,999,900"
45.3448188,-75.6442974,K1T 2S1,40,Residential,Detached,1985,4,4,4,2,30.5,18.3,"1,089,000"
45.4530037,-75.6625867,K1K 3G5,25,Residential,Detached,1949,4,2,4,1,25.91,18.29,"839,900"
45.4546944,-75.6617223,K1K 3G4,27,Residential,Detached,1948,3,3,3,1,25.91,18.29,"1,149,999"
